nu1 nu2 nu3  J Ka Kc               E         unc transitions Gamma   Nb     Etrove  Obs-Calc
  1   1   0 15  1 15  4958.258569402 0.001170477           6    A"  195  4957.6470  0.611569
  1   0   1 20  3 18  4710.382064071 0.000947451           6    A'  167  4709.7673  0.614764
  1   0   1 20  3 17  4710.383682063 0.000947427           6    A"  148  4709.7675  0.616182
  3   1   0 10  3  7 11695.898806474 0.005011986           1    A" 1473 11695.2822  0.616606
  3   1   0 10  3  8 11695.898826759 0.005011986           1    A' 1649 11695.2822  0.616627
  3   0   0 20  4 17 10811.273400793 0.006026610           7    A" 1274 10810.6513  0.622101
  3   0   0 20  4 16 10811.273410385 0.006026609           7    A' 1413 10810.6513  0.622110
  3   1   0 20  3 17 11848.683833677 0.005031901           1    A" 1655 11849.3183  0.634466
  3   1   0 20  3 18 11848.683734201 0.005031900           1    A' 1831 11849.3183  0.634566
  1   2   0 20  2 18  6303.930835507 0.003440934           2    A'  340  6304.5737  0.642864
  0   0   1 10  8  2  2037.763787528 0.000663345           1    A'   35  2037.1150  0.648788
  0   0   1 10  8  3  2037.763821349 0.000632508           1    A"   30  2037.1150  0.648821
  1   0   0 20  1 19  3838.573224808 0.003059415           1    A"   90  3839.2255  0.652275
  1   0   0 20  1 20  3835.757417693 0.001590607           3    A'  103  3836.4133  0.655882
  3   0   0 10  1 10 10394.041855903 0.003013305           5    A' 1197 10393.3800  0.661856
  1   0   0 10  3  7  3836.296252384 0.001526439           2    A"   95  3836.9591  0.662848
  1   1   0 20  0 20  5028.284853962 0.001220663           3    A'  193  5027.6216  0.663254
  4   0   0 20  1 20 13650.588237724 0.002695041           3    A' 2759 13651.2521  0.663862
  3   0   0 10  1  9 10394.828930116 0.003013307           3    A" 1065 10394.1649  0.664030
  1   0   1 10  5  5  4862.080841412 0.001558980           2    A"  159  4861.4074  0.673441
  1   0   1 10  5  6  4862.080848856 0.001558985           2    A'  180  4861.4074  0.673449
  2   0   0 20  6 15  7914.692781444 0.001395571           2    A"  545  7914.0179  0.674881
  2   0   0 20  6 14  7914.692784883 0.001381195           2    A'  607  7914.0179  0.674885
  3   2   0 20  5 16 13287.064822508 0.002097622           2    A' 2551 13287.7415  0.676677
  3   2   0 20  5 15 13287.064800452 0.002088071           2    A" 2306 13287.7415  0.676700
  3   0   0 10  2  8 10447.273165830 0.003019936           6    A' 1213 10447.9542  0.681034
  3   0   0 10  2  9 10447.270277107 0.003013307           6    A" 1080 10447.9542  0.683923
  1   0   0 15  2 13  3805.280818219 0.001577978           3    A"  109  3805.9674  0.686582
  1   0   0 15  2 14  3805.262896645 0.001552445           1    A'   95  3805.9508  0.687903
  1   2   0 10  4  6  6397.233632263 0.006808820           2    A'  349  6397.9267  0.693068
  1   2   0 10  4  7  6397.233622884 0.006808819           2    A"  309  6397.9267  0.693077
